id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;5;2;4;-1;4;3;2;2;1;5
2;4;1;5;-1;2;3;3;1;1;5
3;4;2;2;-1;1;2;1;1;2;5
4;5;1;4;-1;2;4;4;5;1;5
5;4;2;3;-1;3;3;3;1;2;5
6;5;1;2;-1;1;1;1;1;2;5
7;4;2;3;-1;2;3;2;2;1;5
8;5;2;1;-1;1;1;1;1;2;5
9;4;3;1;-1;1;1;1;1;2;5
10;5;1;5;-1;3;3;3;2;2;5
11;5;1;4;-1;1;2;2;2;2;5
12;5;1;4;-1;1;2;2;1;2;3
13;5;5;4;-1;3;3;3;2;1;5
14;5;1;1;-1;1;1;1;1;2;5
15;5;1;5;-1;1;1;3;1;2;5
16;4;2;4;-1;1;3;3;1;2;3
17;5;1;4;-1;1;1;1;1;2;5
18;4;1;4;-1;1;2;2;2;2;5
19;4;2;4;-1;2;2;2;1;2;5
20;4;2;2;-1;3;3;4;2;1;5
21;5;1;1;-1;1;2;3;1;2;5
22;5;1;3;-1;1;3;1;3;2;5
23;5;1;3;-1;1;2;2;1;2;5
24;4;2;4;-1;2;3;3;1;2;5
25;4;2;3;-1;2;2;2;2;2;5
26;5;2;1;-1;2;1;1;1;2;5
27;4;3;4;-1;2;3;3;2;2;5
28;5;1;5;-1;3;5;4;4;1;5
29;4;2;1;-1;1;1;1;1;2;5
30;5;1;4;-1;2;1;2;1;2;3
31;5;1;1;-1;1;1;1;1;2;3
32;5;5;4;-1;3;2;3;1;2;5
33;5;1;4;-1;2;3;3;4;2;5
