Pattern;Category;Points
Randomized Order;I;11
Mathematical Validator;P;0
Impro League;I;1
Questions Donor;P;3
Continuous Testing;K;11
To-Do List;C;0
Professional Multiplier;P;4
Timebox;I;20
Academic Integrity Appeal;C;0
Results With Delay;I;2
Proactive Teacher;C;2
Colleague Veto;P;2
Safe Exam Browser;O;0
Criteria List;I;2
Appetizer;C;1
Certification Centre;O;0
Big Brother;O;4
Game Rules;C;3
Emergency Call alias 911;C;1
Bonus Points;I;6
Self-Assessment;I;0
Member Channel;C;0
Time Reminder;C;0
Personal Defence;I;9
Example Questions;P;1
Colleague Bloom;K;0
Stepwise Apprach;K;0
24/7 alias Permanent Availability;O;0
Expert Validator;P;3
Hidden Validator;P;4
Eurosong;I;0
Objective Assessor;I;0
Theme Variants;P;15
Identity Guarantee;I;3
Expert-Level;K;2
Full-Time Job;O;0
Open Book;K;20
Student Proxy;C;0
Firewall;C;1
Accessibility Adjustments;I;0
Number Draw;I;3
Dress Rehearsal;P;0
Student Achievement Portfolio;K;1
Statistical validator;P;0
Petathlon;K;29
Third Shift;I;0
Innovator;K;1
